campaign_id,user_id,timestamp,device,ad_slot,ad_format,impression_id,click_id,click_position
83,5536,2025-07-10 18:38:38,Mobile,sidebar,banner,537993,1,1
31,9778,2025-08-10 16:12:59,Tablet,video_pre_roll,banner,178048,2,3
52,8800,2025-08-12 12:52:04,Desktop,homepage,banner,323644,3,1
2,6513,2025-07-05 02:59:13,Desktop,sidebar,banner,11727,4,1
48,1410,2025-09-03 10:59:24,Desktop,video_pre_roll,banner,291999,5,1
51,1393,2025-08-09 23:53:43,Tablet,homepage,banner,319387,6,1
6,5081,2025-07-26 12:28:44,Tablet,homepage,banner,38970,7,1
73,5995,2025-07-13 08:01:13,Mobile,video_pre_roll,banner,461843,8,1
92,384,2025-07-29 00:07:06,Tablet,homepage,banner,594361,9,1
84,2205,2025-07-31 07:56:48,Tablet,video_pre_roll,banner,545578,10,1
70,3548,2025-08-09 07:16:16,Tablet,sidebar,banner,437213,11,2
32,700,2025-07-05 04:52:54,Desktop,sidebar,banner,184973,12,1
51,5064,2025-08-01 10:49:11,Desktop,homepage,banner,320305,13,1
64,2004,2025-08-09 07:47:53,Tablet,homepage,banner,404154,14,1
21,7765,2025-08-24 22:23:11,Mobile,sidebar,banner,115018,15,1
61,7341,2025-08-20 05:14:37,Mobile,video_pre_roll,banner,387095,16,3
24,7000,2025-07-23 06:20:41,Tablet,homepage,banner,134207,17,1
77,5727,2025-08-06 02:18:41,Desktop,homepage,banner,491312,18,3
75,9710,2025-08-03 17:42:45,Desktop,homepage,banner,473887,19,1
14,2815,2025-08-04 12:53:24,Tablet,video_pre_roll,banner,76469,20,2
88,4084,2025-08-04 03:53:13,Tablet,sidebar,banner,570474,21,1
7,808,2025-08-06 05:33:27,Desktop,homepage,banner,43705,22,1
64,4388,2025-07-23 14:42:01,Desktop,homepage,banner,403073,23,1
75,1099,2025-08-25 02:55:57,Mobile,sidebar,banner,474063,24,1
22,5955,2025-08-12 10:04:16,Desktop,sidebar,banner,122942,25,1
88,1233,2025-08-10 15:14:34,Tablet,sidebar,banner,577033,26,1
34,2950,2025-08-17 00:50:51,Desktop,homepage,banner,203464,27,2
46,4264,2025-07-15 05:34:01,Mobile,sidebar,banner,281249,28,1
80,3053,2025-07-30 09:15:17,Desktop,video_pre_roll,banner,508698,29,1
54,9461,2025-07-15 19:14:38,Desktop,video_pre_roll,banner,337136,30,2
64,3855,2025-08-07 04:00:12,Tablet,sidebar,banner,407004,31,1
91,4148,2025-08-22 11:17:22,Mobile,sidebar,banner,590600,32,2
28,5811,2025-09-17 20:18:46,Mobile,sidebar,banner,158268,33,1
87,3001,2025-08-04 17:42:55,Mobile,video_pre_roll,banner,567981,34,1
