campaign_id,user_id,timestamp,device,ad_slot,ad_format,impression_id,click_id,click_position,region,conversion_id,order_id,product_category,revenue
39,5876,2025-07-16 04:03:24,Tablet,video_pre_roll,carousel,237964,1856,2,US,1,bb1addd3-8082-48b6-a19f-db69a123248d,subscription,811.19
85,8330,2025-07-24 02:13:45,Tablet,homepage,video,556029,944,2,US,2,7519d179-7710-4de1-b097-c08e276cd650,home_goods,433.76
5,8281,2025-08-02 12:18:30,Mobile,homepage,video,29993,120,1,US,3,15c470ee-a706-4fcf-a356-31dbc8455acb,books,305.32
98,203,2025-09-07 01:24:16,Tablet,sidebar,video,636808,1586,1,US,4,487b2ac8-9595-45f1-9e70-5d4a2294b2d6,home_goods,771.76
62,32,2025-07-13 04:11:43,Mobile,video_pre_roll,video,389011,7116,1,US,5,329ff48e-2478-42cc-aab2-36b645f816ff,subscription,454.04
85,2954,2025-07-25 10:02:24,Tablet,video_pre_roll,video,554572,3760,1,US,6,87da81f4-08ef-4813-bb50-e7a9e9822a6d,subscription,726.69
44,4567,2025-07-18 22:45:26,Mobile,video_pre_roll,banner,265745,10171,1,US,7,a34fc4f2-d134-4411-a2a9-0d000f423b9e,electronics,936.25
80,9116,2025-08-05 15:16:04,Tablet,homepage,banner,511471,3550,1,US,8,1c37015f-2a34-482a-b764-48f9d6fa12b7,books,157.73
37,4735,2025-08-09 02:59:30,Desktop,homepage,carousel,219908,6585,3,US,9,5ff4561f-f47e-4c63-b490-2d720bb30dd2,clothing,1196.51
73,5859,2025-07-27 04:38:01,Tablet,sidebar,banner,460697,9298,1,US,10,7033e573-f14a-43f2-ac72-d9149d0abf0f,electronics,2841.42
54,7531,2025-08-08 07:06:25,Tablet,sidebar,banner,337561,4732,1,US,11,85ea2f7a-246e-4b77-ba76-1753826fbdb7,electronics,5022.62
83,8760,2025-07-18 17:27:11,Desktop,video_pre_roll,banner,536917,652,2,US,12,06d244cb-27e3-42a8-b10d-cf1cea8b1fd2,home_goods,230.96
61,1748,2025-08-18 21:27:59,Mobile,homepage,banner,386650,8622,3,US,13,a4f79406-4512-4c3c-9d1e-a11540f7a593,electronics,1971.64
67,6058,2025-07-25 00:37:04,Desktop,homepage,carousel,421084,1758,1,US,14,88ab8c42-4d63-4629-a2bf-63c0a5385ae0,electronics,1925.45
23,3716,2025-08-05 03:55:55,Desktop,homepage,video,129982,3407,1,US,15,102e9ee4-19c3-477b-840e-d2073e6736aa,clothing,766.12
95,2899,2025-07-22 04:12:38,Desktop,video_pre_roll,video,613626,11958,1,US,16,d5ae7504-269f-4f09-8487-0b7bf7aff7a2,home_goods,431.51
94,3489,2025-07-24 09:06:38,Tablet,sidebar,carousel,603131,4451,1,US,17,8f10e2f6-9a39-4ec9-a7e2-1b8800d2edd6,clothing,705.29
65,9464,2025-07-27 11:54:31,Mobile,sidebar,video,412280,8110,1,US,18,0f73401e-f06f-44a6-80b3-5db540d4446a,home_goods,562.2
19,9085,2025-07-25 09:04:16,Mobile,sidebar,banner,106012,8619,3,US,19,ef512579-505c-4f36-a110-6521346ae338,home_goods,404.47
36,3524,2025-09-05 19:57:32,Mobile,sidebar,banner,208098,9610,1,US,20,c5f9e201-ce42-45fa-aec3-d1201c0687af,home_goods,206.18
60,6816,2025-08-22 01:09:12,Desktop,sidebar,banner,385040,4829,3,US,21,8454fb64-59a2-49a3-990f-6cbef6cea016,subscription,1196.51
85,7181,2025-08-26 18:44:44,Mobile,video_pre_roll,video,553737,11302,2,US,22,a66184b3-0444-4b38-8b0c-77fb6bd56c43,subscription,441.65
59,3050,2025-08-05 22:00:43,Mobile,sidebar,banner,376864,5449,1,US,23,5376911f-6875-4f09-aca5-fbd75a3e3a6f,electronics,3019.43
1,3350,2025-07-16 00:03:24,Desktop,homepage,banner,8017,10540,2,US,24,69da426e-a5ed-43e8-b1f9-ddfb187f048d,electronics,5019.24
56,8730,2025-09-24 14:19:57,Tablet,sidebar,video,355481,6636,3,US,25,ff1f149b-805d-44b3-b086-536738efd29b,clothing,849.5
27,5267,2025-07-28 15:32:52,Desktop,video_pre_roll,video,154026,667,1,US,26,4e7a539e-34e2-4c44-ae16-31f5d84b0489,electronics,1331.7
79,2833,2025-08-26 07:14:57,Mobile,homepage,video,501495,1998,1,US,27,8a06a606-94db-4a65-a855-6bcbc265c14b,clothing,419.12
