user_id,region,device,subscription_tier,signup_date
1,US,Mobile,Basic,2024-12-07
2,APAC,Mobile,Free,2024-01-14
3,EU,Mobile,Free,2024-03-01
4,EU,Desktop,Basic,2024-10-23
5,US,Mobile,Free,2024-12-20
6,US,Desktop,Basic,2024-03-23
7,US,Mobile,Premium,2024-08-03
8,APAC,Desktop,Free,2025-09-14
9,EU,Desktop,Basic,2025-05-01
10,EU,Desktop,Free,2023-12-23
11,US,Desktop,Free,2024-11-17
12,APAC,Desktop,Free,2023-11-05
13,APAC,Tablet,Free,2024-01-29
14,US,Mobile,Free,2024-04-25
15,US,Mobile,Free,2023-11-14
16,US,Mobile,Premium,2024-05-05
17,US,Mobile,Basic,2025-07-06
18,EU,Mobile,Premium,2025-02-08
19,US,Mobile,Basic,2025-04-03
20,US,Mobile,Free,2025-06-01
21,EU,Mobile,Free,2023-11-10
22,US,Mobile,Free,2024-07-26
23,US,Tablet,Free,2025-01-21
24,US,Mobile,Basic,2024-04-21
25,US,Desktop,Basic,2025-09-14
26,EU,Mobile,Free,2025-08-23
27,US,Tablet,Free,2023-12-12
28,EU,Desktop,Free,2024-12-16
29,EU,Desktop,Free,2025-04-16
30,US,Desktop,Free,2024-06-17
31,EU,Mobile,Basic,2024-06-25
32,US,Tablet,Free,2024-05-18
33,US,Desktop,Basic,2025-08-19
34,APAC,Desktop,Free,2024-04-15
35,APAC,Desktop,Free,2025-01-22
36,APAC,Mobile,Premium,2025-07-10
37,US,Desktop,Basic,2024-04-25
38,US,Mobile,Free,2024-06-03
39,EU,Mobile,Premium,2025-09-27
40,US,Mobile,Free,2024-10-02
41,US,Tablet,Free,2025-03-30
42,US,Mobile,Basic,2024-02-05
43,US,Mobile,Basic,2025-07-21
44,APAC,Mobile,Free,2023-10-30
45,US,Desktop,Free,2024-12-14
46,EU,Desktop,Premium,2023-10-23
47,US,Mobile,Free,2025-03-01
48,EU,Mobile,Free,2025-04-27
49,EU,Desktop,Basic,2025-06-02
50,US,Tablet,Premium,2025-09-18
51,APAC,Desktop,Free,2023-11-21
52,EU,Mobile,Basic,2025-08-12
53,APAC,Tablet,Basic,2025-06-12
54,APAC,Mobile,Free,2025-09-11
55,EU,Mobile,Basic,2024-05-04
56,APAC,Mobile,Premium,2025-07-06
57,US,Mobile,Free,2025-01-31
58,US,Desktop,Free,2023-11-30
59,US,Mobile,Premium,2024-05-01
60,US,Mobile,Basic,2025-02-10
61,US,Mobile,Free,2025-07-23
62,US,Mobile,Basic,2025-10-05
63,APAC,Mobile,Basic,2025-09-27
64,US,Mobile,Basic,2024-09-26
65,US,Mobile,Premium,2025-03-22
66,EU,Desktop,Free,2024-07-09
67,US,Desktop,Free,2025-08-03
68,APAC,Desktop,Basic,2025-06-22
69,US,Mobile,Free,2025-09-12
70,APAC,Desktop,Basic,2024-08-26
71,EU,Tablet,Free,2024-08-18
72,US,Desktop,Free,2024-12-10
73,US,Desktop,Free,2024-10-25
74,APAC,Mobile,Basic,2024-07-21
75,EU,Tablet,Basic,2025-02-02
76,EU,Mobile,Free,2025-05-12
77,EU,Mobile,Free,2025-04-15
78,US,Mobile,Free,2024-06-13
79,US,Mobile,Basic,2024-05-06
80,US,Tablet,Free,2023-12-08
81,APAC,Mobile,Basic,2025-01-02
82,EU,Mobile,Basic,2024-04-28
83,US,Desktop,Free,2025-03-25
84,US,Mobile,Basic,2024-08-03
85,US,Mobile,Free,2025-03-27
86,US,Desktop,Basic,2025-09-27
87,EU,Desktop,Free,2024-06-26
